dates,lats,lons,pressure,wind_speed,fcst_ini_date,lead_time_hours
2022-01-01 00:00:00,-21.5,156.75,99469.06,18.85218,2022-01-01 00:00:00,0
2022-01-01 06:00:00,-22.0,157.25,99239.5,18.52401,2022-01-01 00:00:00,6
2022-01-01 12:00:00,-22.0,158.0,99421.69,18.38865,2022-01-01 00:00:00,12
2022-01-01 18:00:00,-25.25,158.75,98914.38,21.29607,2022-01-01 00:00:00,18
2022-01-02 00:00:00,-25.75,158.5,98637.56,22.46786,2022-01-01 00:00:00,24
2022-01-02 06:00:00,-26.25,158.5,98254.06,21.41677,2022-01-01 00:00:00,30
2022-01-02 12:00:00,-27.0,158.5,98688.88,19.08607,2022-01-01 00:00:00,36
2022-01-02 18:00:00,-27.5,157.75,98681.75,16.8913,2022-01-01 00:00:00,42
2022-01-03 00:00:00,-27.75,157.5,98997.38,16.57408,2022-01-01 00:00:00,48
2022-01-03 06:00:00,-28.0,157.5,99011.62,16.48086,2022-01-01 00:00:00,54
2022-01-07 06:00:00,-18.0,173.0,100313.7,11.75752,2022-01-07 06:00:00,0
2022-01-07 12:00:00,-17.75,172.75,100255.2,12.3264,2022-01-07 06:00:00,6
2022-01-07 18:00:00,-18.0,173.0,100018.4,14.91016,2022-01-07 06:00:00,12
2022-01-08 00:00:00,-18.25,172.75,100126.8,15.31106,2022-01-07 06:00:00,18
2022-01-08 06:00:00,-18.5,173.25,99958.5,15.01689,2022-01-07 06:00:00,24
2022-01-08 12:00:00,-18.75,173.25,100118.8,15.77396,2022-01-07 06:00:00,30
2022-01-08 18:00:00,-18.5,174.0,99981.69,16.14508,2022-01-07 06:00:00,36
2022-01-09 00:00:00,-18.25,175.5,99877.19,17.00734,2022-01-07 06:00:00,42
2022-01-09 06:00:00,-19.25,176.75,99479.5,16.74235,2022-01-07 06:00:00,48
2022-01-09 12:00:00,-20.0,176.25,99339.06,18.10058,2022-01-07 06:00:00,54
2022-01-09 18:00:00,-19.75,177.0,98911.19,22.40417,2022-01-07 06:00:00,60
2022-01-10 00:00:00,-20.5,176.5,98916.94,23.66689,2022-01-07 06:00:00,66
2022-01-10 06:00:00,-20.75,176.25,98562.19,22.12314,2022-01-07 06:00:00,72
2022-01-10 12:00:00,-20.75,175.25,98747.19,20.70736,2022-01-07 06:00:00,78
2022-01-10 18:00:00,-20.75,174.25,98532.19,22.2921,2022-01-07 06:00:00,84
2022-01-11 00:00:00,-20.75,173.75,98658.0,19.38915,2022-01-07 06:00:00,90
2022-01-11 06:00:00,-20.75,173.5,98469.0,19.26753,2022-01-07 06:00:00,96
2022-01-11 12:00:00,-21.25,173.25,98679.38,20.92842,2022-01-07 06:00:00,102
2022-01-11 18:00:00,-21.75,173.5,98567.44,20.22803,2022-01-07 06:00:00,108
2022-01-12 00:00:00,-22.75,173.5,98696.0,20.82951,2022-01-07 06:00:00,114
2022-01-12 06:00:00,-23.25,173.75,98458.12,21.32731,2022-01-07 06:00:00,120
2022-01-12 12:00:00,-24.0,174.0,98622.38,20.88205,2022-01-07 06:00:00,126
2022-01-12 18:00:00,-24.5,175.0,98629.94,19.03542,2022-01-07 06:00:00,132
2022-01-13 00:00:00,-25.75,175.5,98624.06,18.74751,2022-01-07 06:00:00,138
2022-01-13 06:00:00,-26.25,176.0,98342.12,20.76723,2022-01-07 06:00:00,144
2022-01-13 12:00:00,-26.75,177.0,98316.12,23.49056,2022-01-07 06:00:00,150
2022-01-13 18:00:00,-27.25,177.0,98047.0,23.4448,2022-01-07 06:00:00,156
2022-01-14 00:00:00,-27.5,177.75,98217.06,23.63381,2022-01-07 06:00:00,162
2022-01-14 06:00:00,-28.0,178.0,98188.44,24.58428,2022-01-07 06:00:00,168
2022-01-14 12:00:00,-28.0,178.75,98302.44,24.17135,2022-01-07 06:00:00,174
2022-01-14 18:00:00,-28.25,179.5,98399.56,21.14177,2022-01-07 06:00:00,180
2022-01-15 00:00:00,-29.0,180.0,98665.56,22.50266,2022-01-07 06:00:00,186
2022-01-15 06:00:00,-29.75,-179.25,98561.5,24.16682,2022-01-07 06:00:00,192
2022-01-15 12:00:00,-30.25,-179.0,98484.0,23.33764,2022-01-07 06:00:00,198
2022-01-15 18:00:00,-31.25,-178.25,98277.44,23.47816,2022-01-07 06:00:00,204
2022-01-16 00:00:00,-32.25,-178.0,98446.5,22.90447,2022-01-07 06:00:00,210
2022-01-16 06:00:00,-33.0,-177.75,98641.88,19.86341,2022-01-07 06:00:00,216
2022-01-16 12:00:00,-34.75,-177.5,98913.81,20.48274,2022-01-07 06:00:00,222
2022-01-16 18:00:00,-36.5,-177.75,98908.88,20.2216,2022-01-07 06:00:00,228
2022-01-17 00:00:00,-38.0,-177.5,98934.0,20.58896,2022-01-07 06:00:00,234
2022-01-17 06:00:00,-39.0,-177.5,98656.62,20.94243,2022-01-07 06:00:00,240
2022-01-17 12:00:00,-40.0,-176.75,98809.44,19.91245,2022-01-07 06:00:00,246
