dates,lats,lons,pressure,fcst_ini_date,lead_time_hours
2022-01-08 12:00:00,-13.75,148.25,100465.0,2022-01-08 12:00:00,0
2022-01-08 18:00:00,-14.0,148.25,100215.4,2022-01-08 12:00:00,6
2022-01-09 00:00:00,-14.25,147.25,100396.4,2022-01-08 12:00:00,12
2022-01-09 06:00:00,-14.25,146.5,99891.75,2022-01-08 12:00:00,18
2022-01-09 18:00:00,-14.25,145.5,99533.19,2022-01-08 12:00:00,30
2022-01-10 18:00:00,-15.0,142.0,100314.7,2022-01-08 12:00:00,54
2022-01-11 06:00:00,-14.75,139.75,99943.5,2022-01-08 12:00:00,66
2022-01-11 12:00:00,-15.0,138.75,100175.1,2022-01-08 12:00:00,72
2022-01-11 18:00:00,-15.0,137.0,99759.94,2022-01-08 12:00:00,78
2022-01-12 00:00:00,-15.0,135.5,99873.5,2022-01-08 12:00:00,84
2022-01-12 06:00:00,-14.75,134.25,99840.88,2022-01-08 12:00:00,90
2022-01-12 18:00:00,-15.25,131.75,99969.19,2022-01-08 12:00:00,102
2022-01-13 00:00:00,-15.5,130.5,100333.6,2022-01-08 12:00:00,108
2022-01-13 12:00:00,-15.75,127.75,100156.9,2022-01-08 12:00:00,120
2022-01-13 18:00:00,-15.5,126.75,99684.0,2022-01-08 12:00:00,126
2022-01-14 00:00:00,-15.75,126.75,100105.6,2022-01-08 12:00:00,132
2022-01-14 18:00:00,-17.25,124.5,99636.06,2022-01-08 12:00:00,150
2022-01-15 00:00:00,-18.25,125.5,99813.81,2022-01-08 12:00:00,156
2022-01-15 06:00:00,-19.25,125.0,99515.75,2022-01-08 12:00:00,162
2022-01-15 12:00:00,-19.75,124.5,99647.0,2022-01-08 12:00:00,168
2022-01-16 12:00:00,-23.5,127.5,99664.56,2022-01-08 12:00:00,192
2022-01-09 12:00:00,-20.0,176.25,99339.06,2022-01-09 12:00:00,0
2022-01-09 18:00:00,-19.75,177.0,98911.19,2022-01-09 12:00:00,6
2022-01-10 00:00:00,-20.5,176.5,98916.94,2022-01-09 12:00:00,12
2022-01-10 06:00:00,-20.75,176.25,98562.19,2022-01-09 12:00:00,18
2022-01-10 12:00:00,-20.75,175.25,98747.19,2022-01-09 12:00:00,24
2022-01-10 18:00:00,-20.75,174.25,98532.19,2022-01-09 12:00:00,30
2022-01-11 00:00:00,-20.75,173.75,98658.0,2022-01-09 12:00:00,36
2022-01-11 06:00:00,-20.75,173.5,98469.0,2022-01-09 12:00:00,42
2022-01-11 12:00:00,-21.25,173.25,98679.38,2022-01-09 12:00:00,48
2022-01-11 18:00:00,-21.75,173.5,98567.44,2022-01-09 12:00:00,54
2022-01-12 00:00:00,-22.75,173.5,98696.0,2022-01-09 12:00:00,60
2022-01-12 06:00:00,-23.25,173.75,98458.12,2022-01-09 12:00:00,66
2022-01-12 12:00:00,-24.0,174.0,98622.38,2022-01-09 12:00:00,72
2022-01-12 18:00:00,-24.5,175.0,98629.94,2022-01-09 12:00:00,78
2022-01-13 00:00:00,-25.75,175.5,98624.06,2022-01-09 12:00:00,84
2022-01-13 06:00:00,-26.25,176.0,98342.12,2022-01-09 12:00:00,90
2022-01-13 12:00:00,-26.75,177.0,98316.12,2022-01-09 12:00:00,96
2022-01-13 18:00:00,-27.25,177.0,98047.0,2022-01-09 12:00:00,102
2022-01-14 00:00:00,-27.5,177.75,98217.06,2022-01-09 12:00:00,108
2022-01-14 06:00:00,-28.0,178.0,98188.44,2022-01-09 12:00:00,114
2022-01-14 12:00:00,-28.0,178.75,98302.44,2022-01-09 12:00:00,120
2022-01-14 18:00:00,-28.25,179.5,98399.56,2022-01-09 12:00:00,126
2022-01-15 00:00:00,-29.0,180.0,98665.56,2022-01-09 12:00:00,132
2022-01-15 12:00:00,-30.25,181.0,98484.0,2022-01-09 12:00:00,144
2022-01-15 18:00:00,-31.25,181.75,98277.44,2022-01-09 12:00:00,150
2022-01-16 00:00:00,-32.25,182.0,98446.5,2022-01-09 12:00:00,156
2022-01-16 06:00:00,-33.0,182.25,98641.88,2022-01-09 12:00:00,162
2022-01-16 18:00:00,-36.5,182.25,98908.88,2022-01-09 12:00:00,174
2022-01-17 00:00:00,-38.0,182.5,98934.0,2022-01-09 12:00:00,180
2022-01-17 12:00:00,-40.0,183.25,98809.44,2022-01-09 12:00:00,192
2022-01-18 06:00:00,-43.5,185.75,99228.81,2022-01-09 12:00:00,210
2022-01-18 12:00:00,-44.5,186.75,99299.69,2022-01-09 12:00:00,216
2022-01-18 18:00:00,-45.75,188.25,99405.25,2022-01-09 12:00:00,222
2022-01-19 00:00:00,-47.0,190.0,99492.44,2022-01-09 12:00:00,228
2022-01-19 06:00:00,-48.75,192.25,99484.12,2022-01-09 12:00:00,234
2022-01-19 12:00:00,-50.75,194.25,99494.38,2022-01-09 12:00:00,240
2022-01-19 18:00:00,-52.5,196.5,99530.19,2022-01-09 12:00:00,246
2022-01-23 12:00:00,-15.5,44.25,99878.31,2022-01-23 12:00:00,0
2022-01-23 18:00:00,-15.75,43.25,99852.06,2022-01-23 12:00:00,6
2022-01-24 00:00:00,-16.0,41.5,99528.06,2022-01-23 12:00:00,12
2022-01-24 06:00:00,-16.0,40.5,99379.12,2022-01-23 12:00:00,18
2022-01-24 12:00:00,-16.5,38.75,99157.69,2022-01-23 12:00:00,24
2022-01-24 18:00:00,-16.25,37.5,99377.31,2022-01-23 12:00:00,30
2022-01-25 00:00:00,-16.25,36.25,99500.88,2022-01-23 12:00:00,36
2022-01-25 06:00:00,-16.75,35.5,99750.62,2022-01-23 12:00:00,42
2022-01-25 12:00:00,-16.75,34.5,99798.88,2022-01-23 12:00:00,48
2022-01-25 18:00:00,-16.25,31.25,100078.2,2022-01-23 12:00:00,54
2022-01-29 00:00:00,-18.25,71.75,99826.38,2022-01-29 00:00:00,0
2022-01-29 06:00:00,-18.0,71.0,99948.5,2022-01-29 00:00:00,6
2022-01-29 12:00:00,-18.25,70.5,99673.12,2022-01-29 00:00:00,12
2022-01-29 18:00:00,-17.75,69.25,99840.94,2022-01-29 00:00:00,18
2022-01-30 00:00:00,-17.5,68.5,99431.19,2022-01-29 00:00:00,24
2022-01-30 06:00:00,-17.0,67.5,99495.69,2022-01-29 00:00:00,30
2022-01-30 12:00:00,-16.75,66.5,99052.31,2022-01-29 00:00:00,36
2022-01-30 18:00:00,-16.5,65.5,99139.62,2022-01-29 00:00:00,42
2022-01-31 00:00:00,-16.25,64.5,98850.62,2022-01-29 00:00:00,48
2022-01-31 06:00:00,-16.0,63.75,98932.19,2022-01-29 00:00:00,54
2022-01-31 12:00:00,-15.75,63.0,98652.0,2022-01-29 00:00:00,60
2022-01-31 18:00:00,-16.0,63.0,98759.94,2022-01-29 00:00:00,66
2022-02-01 00:00:00,-16.25,62.25,98233.81,2022-01-29 00:00:00,72
2022-02-01 06:00:00,-16.75,61.25,98425.75,2022-01-29 00:00:00,78
2022-02-01 12:00:00,-17.0,60.25,98155.31,2022-01-29 00:00:00,84
2022-02-01 18:00:00,-17.5,59.5,98129.94,2022-01-29 00:00:00,90
2022-02-02 00:00:00,-18.0,58.25,97697.0,2022-01-29 00:00:00,96
2022-02-02 06:00:00,-18.75,57.5,97546.56,2022-01-29 00:00:00,102
2022-02-02 12:00:00,-19.0,56.5,96986.94,2022-01-29 00:00:00,108
2022-02-02 18:00:00,-19.0,56.0,96735.56,2022-01-29 00:00:00,114
2022-02-03 00:00:00,-19.0,55.5,96347.19,2022-01-29 00:00:00,120
2022-02-03 06:00:00,-19.0,55.25,96705.81,2022-01-29 00:00:00,126
2022-02-03 12:00:00,-19.25,55.0,96368.12,2022-01-29 00:00:00,132
2022-02-03 18:00:00,-19.25,54.5,96790.94,2022-01-29 00:00:00,138
2022-02-04 00:00:00,-19.25,53.75,96610.56,2022-01-29 00:00:00,144
2022-02-04 06:00:00,-19.25,53.0,96444.56,2022-01-29 00:00:00,150
2022-02-04 12:00:00,-19.5,52.5,95874.31,2022-01-29 00:00:00,156
2022-02-04 18:00:00,-19.75,52.0,96030.62,2022-01-29 00:00:00,162
2022-02-05 00:00:00,-20.0,51.0,96328.25,2022-01-29 00:00:00,168
2022-02-05 06:00:00,-20.0,50.25,96262.44,2022-01-29 00:00:00,174
2022-02-05 12:00:00,-20.75,49.25,96463.44,2022-01-29 00:00:00,180
2022-02-05 18:00:00,-20.75,48.25,97316.0,2022-01-29 00:00:00,186
2022-02-06 00:00:00,-21.25,47.0,98507.31,2022-01-29 00:00:00,192
2022-02-06 06:00:00,-22.0,45.5,98897.62,2022-01-29 00:00:00,198
2022-02-06 12:00:00,-23.25,44.25,99047.88,2022-01-29 00:00:00,204
2022-02-06 18:00:00,-23.5,43.0,99058.75,2022-01-29 00:00:00,210
2022-02-07 00:00:00,-23.5,41.75,99052.12,2022-01-29 00:00:00,216
2022-02-07 06:00:00,-23.75,41.75,99268.06,2022-01-29 00:00:00,222
2022-02-07 12:00:00,-24.25,41.75,99170.19,2022-01-29 00:00:00,228
